StripChart:,HMI,,,,,,,,,,,,,,,,,,,,,,,,,
Date:, Thu Mar 09 22:00:10 2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Data Variables =,26,,,,,,,,,,,,,,,,,,,,,,,,,
Max Number of Data Points =,10000,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Data Points =,417,,,,,,,,,,,,,,,,,,,,,,,,,
Time Interval,1, to ,8321,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- 
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,FIC-100 - SP,FIC-100 - PV,FIC-102 - SP,FIC-102 - PV,FIC-101 - PV,FIC-101 - SP
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h]
1,120.138,214.736,283.067,316.735,360,86136.3,120000,50000,40000,178.863,162.797,265.763,67.8919,321.99,361.642,235000,28000,34000,12000,167.452,16497,16497,94989,94989,123514,123514
21,120.138,214.736,283.067,316.735,360,86136.3,120000,50000,40000,178.863,162.797,265.763,67.8919,321.99,361.642,235000,28000,34000,12000,167.452,16497,16497,94989,94989,123514,123514
8181,120.138,214.736,283.067,316.735,360,86136.3,120000,50000,40000,178.863,162.797,265.763,67.8919,321.99,361.642,235000,28000,34000,12000,167.452,16497,16497,94989,94989,123514,123514
8201,120.138,214.736,283.067,316.735,360,86136.3,120000,50000,40000,178.863,162.797,265.763,67.8919,321.99,361.642,235000,28000,34000,12000,167.452,16497,16497,94989,94989,123514,123514
8221,120.138,214.736,283.067,316.735,360,86136.3,120000,50000,40000,178.863,162.797,265.763,67.8919,321.99,361.642,235000,28000,34000,12000,167.452,16497,16497,94989,94989,123514,123514
8241,120.138,214.736,283.067,316.735,360,86136.3,120000,50000,40000,178.863,162.797,265.763,67.8919,321.99,361.642,235000,28000,34000,12000,167.452,16497,16497,94989,94989,123514,123514
8261,120.138,214.736,283.067,316.735,360,86136.3,120000,50000,40000,178.863,162.797,265.763,67.8919,321.99,361.642,235000,28000,34000,12000,167.452,16497,16497,94989,94989,123514,123514
8281,120.138,214.736,283.067,316.735,360,86136.3,120000,50000,40000,178.863,162.797,265.763,67.8919,321.99,361.642,235000,28000,34000,12000,167.452,16497,16497,94989,94989,123514,123514
8301,120.138,214.736,283.067,316.735,360,86136.3,120000,50000,40000,178.863,162.797,265.763,67.8919,321.99,361.642,235000,28000,34000,12000,167.452,16497,16497,94989,94989,123514,123514
8321,120.138,214.736,283.067,316.735,360,86136.3,120000,50000,40000,178.863,162.797,265.763,67.8919,321.99,361.642,235000,28000,34000,12000,167.452,16497,16497,94989,94989,123514,123514
