StripChart:,HMI,
Date:, Thu Mar 09 20:16:41 2023
,
Number of Data Variables =, 26,
Max Number of Data Points =, 10000,
Number of Data Points =, 4467,
Time Interval,         1, to ,     89321,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,FIC-100 - SP,FIC-100 - PV,FIC-102 - SP,FIC-102 - PV,FIC-101 - PV,FIC-101 - SP,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],
           1,     119.417,     210.527,     280.731,     316.695,         360,     91173.9,      120026,       50000,       40000,     175.363,     161.178,     260.364,     66.3083,     320.017,     361.263,      235001,     26000.1,     37500.1,     12000.1,     170.388,       76609,     76609.2,       97587,     97587.3,     60804.2,       60804,
          21,     119.417,     210.527,     280.731,     316.695,         360,     91174.2,      120025,       50000,     39999.9,     175.363,     161.178,     260.364,     66.3083,     320.017,     361.263,      235001,     26000.1,     37500.1,     12000.1,     170.389,       76609,     76609.2,       97587,     97587.3,     60804.2,       60804,
          41,     119.417,     210.527,      280.73,     316.694,         360,     91174.3,      120025,       50000,     39999.9,     175.363,     161.178,     260.364,     66.3083,     320.017,     361.263,      235001,     26000.1,     37500.1,     12000.1,     170.389,       76609,     76609.2,       97587,     97587.3,     60804.2,       60804,
          61,     119.417,     210.526,      280.73,     316.694,         360,     91174.5,      120025,       50000,     39999.9,     175.363,     161.178,     260.364,     66.3083,     320.015,      361.26,      235001,     26000.1,     37500.1,     12000.1,     170.389,       76609,     76609.2,       97587,     97587.3,     60804.2,       60804,
          81,     119.417,     210.526,      280.73,     316.694,         360,     91174.7,      120025,       50000,     39999.9,     175.364,     161.176,     260.363,     66.3079,     320.015,      361.26,      235001,     26000.1,     37500.1,     12000.1,      170.39,       76609,     76609.2,       97587,     97587.3,     60804.2,       60804,
         101,     119.417,     210.526,      280.73,     316.693,         360,     91174.9,      120025,       50000,     39999.9,     175.364,     161.176,     260.363,     66.3079,     320.015,      361.26,      235001,     26000.1,     37500.1,     12000.1,      170.39,       76609,     76609.2,       97587,     97587.3,     60804.2,       60804,
         121,     119.417,     210.525,     280.729,     316.693,         360,     91175.1,      120025,       50000,     39999.9,     175.364,     161.176,     260.363,     66.3079,     320.013,     361.257,      235001,     26000.1,     37500.1,     12000.1,      170.39,       76609,     76609.2,       97587,     97587.3,     60804.2,       60804,
         141,     119.417,     210.525,     280.729,     316.693,         360,     91175.3,      120025,       50000,     39999.9,     175.365,     161.175,     260.362,     66.3076,     320.013,     361.257,      235001,     26000.1,     37500.1,     12000.1,     170.391,       76609,     76609.2,       97587,     97587.3,     60804.2,       60804,
         161,     119.417,     210.525,     280.729,     316.692,         360,     91175.5,      120024,       50000,     39999.9,     175.365,     161.175,     260.362,     66.3076,     320.013,     361.257,      235001,     26000.1,     37500.1,     12000.1,     170.391,       76609,     76609.2,       97587,     97587.3,     60804.2,       60804,
         181,     119.417,     210.524,     280.729,     316.692,         360,     91175.7,      120024,       50000,     39999.9,     175.365,     161.175,     260.362,     66.3076,     320.012,     361.254,      235001,     26000.1,     37500.1,     12000.1,     170.392,       76609,     76609.2,       97587,     97587.3,     60804.2,       60804,
         201,     119.417,     210.524,     280.728,     316.692,         360,     91175.9,      120024,       50000,     39999.9,     175.365,     161.174,     260.362,     66.3073,     320.012,     361.254,      235001,     26000.1,     37500.1,     12000.1,     170.392,       76609,     76609.2,       97587,     97587.3,     60804.2,       60804,
