StripChart:,HMI,
Date:, Thu Mar 09 19:54:03 2023
,
Number of Data Variables =, 26,
Max Number of Data Points =, 10000,
Number of Data Points =, 2623,
Time Interval,         1, to ,     52441,

 ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- , ----- ,
Time,TS-1 - Top Stage Temperature,TS-1 - Stage Temperature (20__TS-1),TS-1 - Stage Temperature (12__TS-1),TS-1 - Stage Temperature (7__TS-1),TIC11300 - PV,FIC10704 - PV,FIC10705 - PV,FIC10706 - PV,FIC10707 - PV,Naptha Cut Point - ASTM D86 (Cut Pt-100.00%-Naptha),Kero Cut Point - ASTM D86 (Cut Pt-0.0%-Kero Product),Kero Cut Point - ASTM D86 (Cut Pt-100.00%-Kero Product),Kero Cut Point - ASTM D93 Flash Pt (Kero Product),Diesel Cut Point - ASTM D86 (Cut Pt-95.00%-Diesel Product),AGO Cut Point - ASTM D86 (Cut Pt-95.00%-AGO Product),MixFeed - Mass Flow,FIC10701 - PV,FIC10702 - PV,FIC10703 - PV,TS-1 - Top Stage Pressure,FIC-100 - SP,FIC-100 - PV,FIC-102 - SP,FIC-102 - PV,FIC-101 - PV,FIC-101 - SP,
[seconds],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[C],[C],[C],[C],[C],[C],[kg/h],[kg/h],[kg/h],[kg/h],[kPa],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],[kg/h],
           1,     129.974,     217.571,     282.801,     318.166,         360,       96716,      120000,       50000,       40000,     187.297,     169.045,     262.728,     69.9306,     319.016,     360.553,      235000,       24000,       38000,       14300,     178.548,       28200,       28200,      172984,      172984,       33816,       33816,
          21,     129.974,     217.571,     282.801,     318.166,         360,       96716,      120000,       50000,       40000,     187.297,     169.045,     262.728,     69.9306,     319.016,     360.553,      235000,       24000,       38000,       14300,     178.548,       28200,       28200,      172984,      172984,       33816,       33816,
          41,     129.974,     217.571,     282.801,     318.166,         360,       96716,      120000,       50000,       40000,     187.297,     169.045,     262.728,     69.9306,     319.016,     360.553,      235000,       24000,       38000,       14300,     178.548,       28200,       28200,      172984,      172984,       33816,       33816,
          61,     129.974,     217.571,     282.801,     318.166,         360,       96716,      120000,       50000,       40000,     187.297,     169.045,     262.728,     69.9306,     319.016,     360.553,      235000,       24000,       38000,       14300,     178.548,       28200,       28200,      172984,      172984,       33816,       33816,
          81,     129.974,     217.571,     282.801,     318.166,         360,       96716,      120000,       50000,       40000,     187.297,     169.045,     262.728,     69.9306,     319.016,     360.553,      235000,       24000,       38000,       14300,     178.548,       28200,       28200,      172984,      172984,       33816,       33816,
         101,     129.974,     217.571,     282.801,     318.166,         360,       96716,      120000,       50000,       40000,     187.297,     169.045,     262.728,     69.9306,     319.016,     360.553,      235000,       24000,       38000,       14300,     178.548,       28200,       28200,      172984,      172984,       33816,       33816,
         121,     129.974,     217.571,     282.801,     318.166,         360,       96716,      120000,       50000,       40000,     187.297,     169.045,     262.728,     69.9306,     319.016,     360.553,      235000,       24000,       38000,       14300,     178.548,       28200,       28200,      172984,      172984,       33816,       33816,
         141,     129.974,     217.571,     282.801,     318.166,         360,       96716,      120000,       50000,       40000,     187.297,     169.045,     262.728,     69.9306,     319.016,     360.553,      235000,       24000,       38000,       14300,     178.548,       28200,       28200,      172984,      172984,       33816,       33816,
         161,     129.974,     217.571,     282.802,     318.166,         360,       96716,      120000,       50000,       40000,     187.297,     169.045,     262.728,     69.9306,     319.016,     360.553,      235000,       24000,       38000,       14300,     178.548,       28200,       28200,      172984,      172984,       33816,       33816,
         181,     129.974,     217.571,     282.802,     318.166,         360,       96716,      120000,       50000,       40000,     187.297,     169.045,     262.728,     69.9306,     319.016,     360.553,      235000,       24000,       38000,       14300,     178.548,       28200,       28200,      172984,      172984,       33816,       33816,
         201,     129.974,     217.571,     282.801,     318.166,         360,       96716,      120000,       50000,       40000,     187.297,     169.045,     262.728,     69.9306,     319.016,     360.553,      235000,       24000,       38000,       14300,     178.548,       28200,       28200,      172984,      172984,       33816,       33816,
         221,     129.974,     217.571,     282.801,     318.166,         360,       96716,      120000,       50000,       40000,     187.297,     169.045,     262.728,     69.9306,     319.016,     360.553,      235000,       24000,       38000,       14300,     178.548,       28200,       28200,      172984,      172984,       33816,       33816,
